Date,Close,Open,High,Low,STOCHk_14_3_3,STOCHd_14_3_3,stoch_diff,Stoch_Signal,Stoch_Entry/Exit,side,cost/proceeds,trade_volume,shares,value
2021-07-06 14:30:00-04:00,432.8019104003906,432.20001220703125,432.864990234375,431.8599853515625,53.206733110661105,41.68248006473639,11.524253045924716,1.0,0.0,hold,,,100.0,
2021-07-06 15:30:00-04:00,432.8999938964844,432.80999755859375,433.45001220703125,432.489990234375,64.15561740324276,51.92511566824968,12.230501734993076,1.0,0.0,hold,,,100.0,
2021-07-07 09:30:00-04:00,432.6300048828125,433.6600036621094,434.19000244140625,432.5299987792969,67.2003103837181,61.52088696587399,5.679423417844113,1.0,0.0,hold,,,100.0,
2021-07-07 10:30:00-04:00,433.45001220703125,432.6000061035156,433.4800109863281,431.510009765625,71.87869804819597,67.7448752783856,4.133822769810365,1.0,0.0,hold,,,100.0,
2021-07-07 11:30:00-04:00,433.9200134277344,433.4599914550781,434.45001220703125,433.2200012207031,77.67978976548864,72.25293273246757,5.426857033021065,1.0,0.0,hold,,,100.0,
2021-07-07 12:30:00-04:00,433.760009765625,433.9200134277344,434.2799987792969,433.6119079589844,84.93978782123317,78.16609187830592,6.773695942927247,1.0,0.0,hold,,,100.0,
2021-07-07 13:30:00-04:00,434.25,433.760009765625,434.75,433.639892578125,87.32465506622465,83.31474421764882,4.009910848575828,1.0,0.0,hold,,,100.0,
2021-07-07 14:30:00-04:00,434.5,434.2496032714844,434.7300109863281,433.739990234375,89.54553186961903,87.26999158569227,2.275540283926759,1.0,0.0,hold,,,100.0,
2021-07-07 15:30:00-04:00,434.44000244140625,434.5,434.760009765625,434.0950012207031,92.48006209714606,89.78341634432991,2.6966457528161527,1.0,0.0,hold,,,100.0,
2021-07-08 09:30:00-04:00,428.9599914550781,429.010009765625,429.5950012207031,427.5199890136719,69.29273690179213,83.77277695618574,-14.480040054393612,-1.0,-2.0,sell_short,42895.99914550781,100.0,0.0,42895.99914550781
2021-07-08 10:30:00-04:00,429.8900146484375,428.9700012207031,430.010009765625,427.8599853515625,48.62918334934765,70.13399411609528,-21.50481076674763,-1.0,0.0,hold,,,0.0,
2021-07-08 11:30:00-04:00,431.1099853515625,429.8900146484375,431.25,429.5299987792969,34.06999633284295,50.66397219466091,-16.59397586181796,-1.0,0.0,hold,,,0.0,
2021-07-08 12:30:00-04:00,431.4100036621094,431.1000061035156,431.7300109863281,430.8599853515625,45.3499465381897,42.68304207346009,2.6669044647296047,1.0,2.0,go long,-43141.00036621094,100.0,100.0,43141.00036621094
2021-07-08 13:30:00-04:00,430.1700134277344,431.4100036621094,431.5799865722656,430.010009765625,46.63907166130641,42.01967151077969,4.619400150526722,1.0,0.0,hold,,,100.0,
2021-07-08 14:30:00-04:00,430.1600036621094,430.17999267578125,430.6099853515625,429.5880126953125,42.26531951334997,44.75144590428203,-2.486126390932057,-1.0,-2.0,sell_short,43016.00036621094,100.0,0.0,43016.00036621094
2021-07-08 15:30:00-04:00,430.95001220703125,430.1700134277344,430.9800109863281,429.1449890136719,40.14750120482264,43.017297459826345,-2.869796255003706,-1.0,0.0,hold,,,0.0,
2021-07-09 09:30:00-04:00,434.1549987792969,432.42999267578125,434.3800048828125,432.30999755859375,58.49452666276063,46.96911579364441,11.525410869116214,1.0,2.0,go long,-43415.49987792969,100.0,100.0,43415.49987792969
2021-07-09 10:30:00-04:00,434.7200012207031,434.1499938964844,434.8500061035156,433.9200134277344,79.0819326259214,59.24132016450156,19.840612461419838,1.0,0.0,hold,,,100.0,
2021-07-09 11:30:00-04:00,434.6400146484375,434.7300109863281,435.2200012207031,434.5799865722656,94.11254716922751,77.22966881930319,16.882878349924326,1.0,0.0,hold,,,100.0,
2021-07-09 12:30:00-04:00,434.8599853515625,434.6499938964844,435.0899963378906,434.5899963378906,95.33953317859103,89.51133765791332,5.82819552067771,1.0,0.0,hold,,,100.0,
2021-07-09 13:30:00-04:00,435.1600036621094,434.8800048828125,435.2099914550781,434.7200012207031,95.67100253387973,95.04102762723276,0.6299749066469644,1.0,0.0,hold,,,100.0,
2021-07-09 14:30:00-04:00,435.5400085449219,435.1499938964844,435.7099914550781,435.1099853515625,97.48993200566633,96.16682257271236,1.32310943295397,1.0,0.0,hold,,,100.0,
2021-07-09 15:30:00-04:00,435.4800109863281,435.5299987792969,435.8399963378906,435.2900085449219,97.6061920559137,96.92237553181992,0.6838165240937712,1.0,0.0,hold,,,100.0,
2021-07-12 09:30:00-04:00,436.45001220703125,435.125,436.45989990234375,434.9700012207031,97.82759655381007,97.64124020513003,0.18635634868003592,1.0,0.0,hold,,,100.0,
2021-07-12 10:30:00-04:00,436.3800048828125,436.4599914550781,436.739990234375,436.29998779296875,96.93950519406322,97.45776460126233,-0.5182594071991105,-1.0,-2.0,sell_short,43638.00048828125,100.0,0.0,43638.00048828125
2021-07-12 11:30:00-04:00,436.5,436.3900146484375,436.7300109863281,436.07000732421875,97.32847140263412,97.36519105016913,-0.03671964753500845,-1.0,0.0,hold,,,0.0,
2021-07-12 12:30:00-04:00,436.67999267578125,436.489990234375,436.68499755859375,436.3800048828125,97.10347580224986,97.12381746631574,-0.02034166406588156,-1.0,0.0,hold,,,0.0,
2021-07-12 13:30:00-04:00,436.9599914550781,436.67999267578125,436.9700012207031,436.4100036621094,98.6407580492917,97.69090175139189,0.9498562978998137,1.0,2.0,go long,-43695.99914550781,100.0,100.0,43695.99914550781
2021-07-12 14:30:00-04:00,437.17999267578125,436.9649963378906,437.20001220703125,436.75,99.61119466117378,98.45180950423844,1.1593851569353433,1.0,0.0,hold,,,100.0,
2021-07-12 15:30:00-04:00,437.0799865722656,437.1759033203125,437.3500061035156,436.8900146484375,98.08867460989067,98.78020910678538,-0.6915344968947039,-1.0,-2.0,sell_short,43707.99865722656,100.0,0.0,43707.99865722656
2021-07-13 09:30:00-04:00,437.1300048828125,436.2699890136719,437.19000244140625,436.2300109863281,95.99330016777174,97.89772314627874,-1.9044229785070002,-1.0,0.0,hold,,,0.0,
2021-07-13 10:30:00-04:00,437.69000244140625,437.1300048828125,437.79998779296875,436.8399963378906,94.93758079800644,96.33985185855629,-1.4022710605498503,-1.0,0.0,hold,,,0.0,
2021-07-13 11:30:00-04:00,437.45001220703125,437.69500732421875,437.8399963378906,437.3999938964844,92.7235839913199,94.55148831903269,-1.8279043277127869,-1.0,0.0,hold,,,0.0,
2021-07-13 12:30:00-04:00,436.4800109863281,437.4588928222656,437.6099853515625,436.20001220703125,80.33181770739985,89.3309941655754,-8.999176458175555,-1.0,0.0,hold,,,0.0,
2021-07-13 13:30:00-04:00,436.4389953613281,436.489990234375,436.5899963378906,435.57000732421875,65.19856596236131,79.41798922036035,-14.21942325799904,-1.0,0.0,hold,,,0.0,
2021-07-13 14:30:00-04:00,435.6719055175781,436.43499755859375,436.43499755859375,435.489990234375,44.017282308178615,63.182555325979926,-19.16527301780131,-1.0,0.0,hold,,,0.0,
